"Route","Model","Finding ID","Severity","Adjudication (Accept/Reject/Merge)","Chosen Owner","Sprint","Definition of Done"
"/products/seating/oando-seating--fluid-x","PAUX","FLUIDX-02","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating/oando-seating--fluid-x","PAUX","FLUIDX-03","High","Merge","Frontend + Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating/oando-seating--spino","PAUX","SPINO-03","High","Merge","Frontend + Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating/oando-seating--spino","PAUX","SPINO-02","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/seating/oando-seating--spino","PAUX","SPINO-01","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/soft-seating","GPT511","SOFTC-01","High","Merge","Frontend + Content","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/soft-seating/cocoon-pod","GPT511","PCOCOON-01","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/soft-seating/solace-pod","GPT511","PSOLACE-01","High","Accept","Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/tables","PAUX","TABLECAT-01","High","Merge","Frontend + Content","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/tables","PAUX","TABLECAT-02","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/tables/oando-tables--apex","PAUX","APEX-03","High","Merge","Frontend + Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/tables/oando-tables--apex","PAUX","APEX-02","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/tables/oando-tables--apex","PAUX","APEX-01","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/tables/oando-tables--exquisite","PAUX","EXQ-02","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/tables/oando-tables--exquisite","PAUX","EXQ-03","High","Merge","Frontend + Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/tables/oando-tables--exquisite","PAUX","EXQ-01","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/workstations","PAUX","WORKCAT-02","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/workstations","PAUX","WORKCAT-01","High","Merge","Frontend + Content","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products/workstations/oando-workstations--curvivo","PAUX","CURVIVO-01","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/workstations/oando-workstations--curvivo","PAUX","CURVIVO-02","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/workstations/oando-workstations--curvivo","PAUX","CURVIVO-03","High","Merge","Frontend + Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/workstations/oando-workstations--deskpro","PAUX","DESKPRO-03","High","Merge","Frontend + Content","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/workstations/oando-workstations--deskpro","PAUX","DESKPRO-01","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/workstations/oando-workstations--deskpro","PAUX","DESKPRO-02","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/projects","GPT511","PROJ-01","High","Merge","Frontend + Design","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT52","PROJ-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPTMD","PROJ-1","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/projects","PAUX","PROJ-01","High","Merge","Frontend + Design","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","PAUX","PROJ-02","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/quote-cart","GPT511","QCART-02","High","Merge","Frontend","Sprint 1","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/quote-cart","GPT511","QCART-01","High","Accept","Frontend + Design","Sprint 1","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/quote-cart","GPTMD","QC-1","High","Accept","Frontend","Sprint 1","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/quote-cart","PAUX","QC-01","High","Merge","Frontend","Sprint 1","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/quote-cart","PAUX","QC-02","High","Merge","Frontend","Sprint 1","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/service","GPT511","SERV-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/service","GPT52","SRV-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPTMD","SERV-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","PAUX","SERV-02","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","PAUX","SERV-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/showrooms","GPT52","SHW-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/showrooms","PAUX","SHOW-01","High","Merge","Frontend + Design","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/social","GPT511","SOC-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/social","GPT511","SOC-02","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/social","GPT52","SOC-1","High","Accept","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/social","GPTMD","SOC-1","High","Accept","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/social","PAUX","SOCIAL-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/social","PAUX","SOCIAL-02","High","Accept","Content","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/solutions","GPT52","SOL-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/solutions","PAUX","SOL-04","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/solutions","PAUX","SOL-01","High","Merge","Frontend + Design","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/solutions/seating","GPT511","SOLSEAT-01","High","Accept","Content","Sprint 1","Route has full solution template (proof, CTA, related products) or clean redirect to parent route without dead-end."
"/solutions/seating","PAUX","SOLSEAT-02","High","Accept","Frontend","Sprint 1","Route has full solution template (proof, CTA, related products) or clean redirect to parent route without dead-end."
"/solutions/seating","PAUX","SOLSEAT-01","High","Merge","Frontend + Design","Sprint 1","Route has full solution template (proof, CTA, related products) or clean redirect to parent route without dead-end."
"/solutions/workstations","GPT511","SOLWORK-01","High","Accept","Content","Sprint 1","Route has full solution template (proof, CTA, related products) or clean redirect to parent route without dead-end."
"/solutions/workstations","PAUX","SOLWORK-01","High","Merge","Frontend + Design","Sprint 1","Route has full solution template (proof, CTA, related products) or clean redirect to parent route without dead-end."
"/solutions/workstations","PAUX","SOLWORK-02","High","Merge","Frontend","Sprint 1","Route has full solution template (proof, CTA, related products) or clean redirect to parent route without dead-end."
"/support-ivr","GPT511","IVR-01","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/support-ivr","GPTMD","IVR-1","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/support-ivr","PAUX","IVR-01","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/sustainability","GPT511","SUST-03","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/sustainability","GPT511","SUST-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/sustainability","GPT52","SUS-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/sustainability","PAUX","SUST-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/terms","GPT511","TERMS-01","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/terms","PAUX","TERMS-01","High","Merge","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/tracking","GPT511","TRACK-02","High","Merge","Content","Sprint 1","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/tracking","GPTMD","TRK-1","High","Accept","Frontend","Sprint 1","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/tracking","PAUX","TRACK-03","High","Merge","Frontend","Sprint 1","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/trusted-by","GPT52","TB-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/trusted-by","GPTMD","TB-1","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/trusted-by","PAUX","TRUST-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"Cookie Consent / Privacy Banner (renameit.netlify.app)","SONNET","C-01","High","Merge","Frontend + Content","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"Header / Navigation System (Both Builds â€” Partial)","SONNET","N-01","High","Accept","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"Header / Navigation System (Both Builds â€” Partial)","SONNET","N-02","High","Accept","Frontend + Legal + Content","Sprint 1","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/","GPT511","HOME-03","Medium","Merge","Frontend + Content","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT511","HOME-02","Medium","Merge","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT511","HOME-04","Medium","Merge","Frontend + Design","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-2","Medium","Accept","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-4","Medium","Merge","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT52","HOME-3","Medium","Merge","Frontend + Content","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPTMD","HOME-4","Medium","Merge","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPTMD","HOME-2","Medium","Merge","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPTMD","HOME-3","Medium","Merge","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","PAUX","HOME-03","Medium","Merge","Frontend + Design","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","PAUX","HOME-05","Medium","Merge","Content","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (oando.co.in â€” Current Production)","SONNET","B-H-07","Medium","Merge","Content","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/ (renameit.netlify.app â€” Redesign/Staging)","SONNET","A-H-07","Medium","Merge","Frontend + Content","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
