"Model","File","Line","Page","ID","Severity","Category","Evidence","Why","Fix"
"GPT52","GPT 52.md","141","/configurator","CFG-1","High","Interaction UX","30+ fields in single form with no progress or save (`Simple2DConfigurator.tsx:17-49`)","Users abandon long forms","Split into steps with autosave"
"GPT52","GPT 52.md","142","/configurator","CFG-2","High","Validation","Only required check is canSubmit; no per-field errors (`Simple2DConfigurator.tsx:201-238, 313-340`)","Users get generic error; low clarity","Add inline validation + aria-live"
"GPT52","GPT 52.md","143","/configurator","CFG-3","Medium","Decision support","Cost estimate is implicit (extraPerSeat) but never shown (`Simple2DConfigurator.tsx:134-179`)","No feedback on budget impact","Display running cost estimate"
"GPT52","GPT 52.md","144","/configurator","CFG-4","Medium","Mobile","Layout options images absent; heavy select UI (`Simple2DConfigurator.tsx`)","Hard to choose layouts on mobile","Add visual thumbnails + swipe"
"GPT52","GPT 52.md","145","/configurator","CFG-5","Low","Tracking","No form submission analytics","Cannot optimize funnel","Add conversion events"
"GPT52","GPT 52.md","151","/compare","CMP-1","High","Reachability","Depends on query param; empty state only suggests two categories (`app/compare/page.tsx:145-156`)","Users landing directly see dead-end","Provide â€œAdd from catalogâ€ picker modal"
"GPT52","GPT 52.md","152","/compare","CMP-2","Medium","Decision support","Table lacks key specs (price, lead time, warranty detail) (`app/compare/page.tsx:196-208`)","Comparisons feel shallow","Add price band, lead time rows"
"GPT52","GPT 52.md","153","/compare","CMP-3","Medium","Mobile","Table min-width 760px (`app/compare/page.tsx:160-213`)","Horizontal scroll heavy on phones","Use stacked comparison cards for <md"
"GPT52","GPT 52.md","154","/compare","CMP-4","Low","Accessibility","Table headers lack scope attributes","Screen readers struggle with matrix","Add `scope=""col/row""`"
"GPT52","GPT 52.md","155","/compare","CMP-5","Low","CTA clarity","No â€œAdd to quoteâ€ per column","Missed conversion action","Add quote buttons inside header cells"
"GPT52","GPT 52.md","161","/contact","CT-1","High","Validation","Form allows submit with invalid phone/email formats (`CustomerQueryForm.tsx:31-90`)","Creates bad leads; user frustration","Add regex/length validation + masks"
"GPT52","GPT 52.md","162","/contact","CT-2","High","Accessibility","Error message not aria-live (`CustomerQueryForm.tsx:91-121`)","Screen readers miss errors","Add `role=""alert""` live region"
"GPT52","GPT 52.md","163","/contact","CT-3","Medium","Trust","No privacy/usage note near form","Users may hesitate sharing data","Add short consent copy + link"
"GPT52","GPT 52.md","164","/contact","CT-4","Medium","CTA clarity","Only single â€œSend Messageâ€ CTA; no phone CTA in form area (`CustomerQueryForm.tsx:125-141`)","Users who prefer call/WA not guided","Add secondary â€œWhatsAppâ€ button"
"GPT52","GPT 52.md","165","/contact","CT-5","Low","Mobile","Two-column layout at md may pinch on tablets (`app/contact/page.tsx:20-29`)","Form readability drops","Stack at md breakpoint"
"GPT52","GPT 52.md","171","/planning","PLAN-1","Medium","CTA clarity","Hero CTA suppressed (`app/planning/page.tsx:13-18`)","No immediate way to book","Add â€œBook planning callâ€ CTA"
"GPT52","GPT 52.md","172","/planning","PLAN-2","Medium","Decision support","Deliverables listed without examples (`app/planning/page.tsx:39-61`)","Hard to judge quality","Link to sample BOQ/PDF"
"GPT52","GPT 52.md","173","/planning","PLAN-3","Medium","Mobile","3-column cards at md (`app/planning/page.tsx:24-34`)","Crowded on small screens","Switch to carousel on mobile"
"GPT52","GPT 52.md","174","/planning","PLAN-4","Low","Accessibility","Lists not semantic (plain `<li>` without `<ul>` wrappers in some sections)","Screen reader grouping weak","Ensure proper list semantics"
"GPT52","GPT 52.md","175","/planning","PLAN-5","Low","Trust","No timelines/SLA stated","Buyers canâ€™t gauge effort","Add typical turnaround times"
"GPT52","GPT 52.md","181","/service","SRV-1","High","CTA clarity","Hero CTA missing (`app/service/page.tsx:14-19`)","No â€œBook serviceâ€ prompt","Add primary CTA"
"GPT52","GPT 52.md","182","/service","SRV-2","Medium","Interaction UX","Support channels listed as links but no tracking/working hours (`app/service/page.tsx:33-53`)","Users may call outside hours","Add hours + expected response time"
"GPT52","GPT 52.md","183","/service","SRV-3","Medium","Decision support","No SLA or warranty scope detail","Low confidence","Add SLA bullets per channel"
"GPT52","GPT 52.md","184","/service","SRV-4","Low","Mobile","Dual-column layout on lg; ok but CTA at bottom only","Scroll fatigue","Add sticky help bar on mobile"
"GPT52","GPT 52.md","185","/service","SRV-5","Low","Accessibility","External WhatsApp link lacks `rel` in CTA block","Security/accessibility","Add rel + icon label"
"GPT52","GPT 52.md","191","/solutions","SOL-1","High","CTA clarity","Hero no CTA (`app/solutions/page.tsx:19-26`)","No next-step","Add dual CTAs (plan call, view projects)"
"GPT52","GPT 52.md","192","/solutions","SOL-2","Medium","Decision support","Process steps lack proof/assets (`app/solutions/page.tsx:49-82`)","Abstract promise only","Add case links or stats per phase"
"GPT52","GPT 52.md","193","/solutions","SOL-3","Medium","Mobile","3-column cards at md (`app/solutions/page.tsx:68-82`)","Tight spacing","Use responsive min columns"
"GPT52","GPT 52.md","194","/solutions","SOL-4","Low","Trust","Stats not dated (`app/solutions/page.tsx:36-46`)","Credibility weaker","Show as-of date"
"GPT52","GPT 52.md","195","/solutions","SOL-5","Low","Accessibility","Images in cards use step title as alt (generic) (`app/solutions/page.tsx:60-71`)","Poor SR context","Provide descriptive alts"
"GPT52","GPT 52.md","201","/showrooms","SHW-1","High","CTA clarity","Hero lacks CTA (`app/showrooms/page.tsx:17-24`)","No booking path","Add â€œBook a visitâ€"
"GPT52","GPT 52.md","202","/showrooms","SHW-2","Medium","Trust","Stats show as-of but no date string (`app/showrooms/page.tsx:25-43`)","Weakens credibility","Render `asOfLabel` text"
"GPT52","GPT 52.md","203","/showrooms","SHW-3","Medium","Decision support","No showroom address/map details","Visitors cannot plan visit","Add map + timings"
"GPT52","GPT 52.md","204","/showrooms","SHW-4","Low","Mobile","Multi-column grids at sm (`app/showrooms/page.tsx:31-41`)","Potential overflow","Stack chips on small screens"
"GPT52","GPT 52.md","205","/showrooms","SHW-5","Low","Accessibility","Client list rendered as divs (no list semantics) (`app/showrooms/page.tsx:45-59`)","SRs read as plain text","Use `<ul><li>`"
"GPT52","GPT 52.md","211","/downloads","DLD-1","High","CTA clarity","Hero showButton false (`app/downloads/page.tsx:17-23`)","No direct download or request CTA","Add â€œEmail me packâ€ primary CTA"
"GPT52","GPT 52.md","212","/downloads","DLD-2","Medium","Decision support","Cards link to contact, not direct files (`app/downloads/page.tsx:27-55`)","Extra friction for ready buyers","Provide sample PDF links with gating"
"GPT52","GPT 52.md","213","/downloads","DLD-3","Medium","Mobile","3-column grid at md (`app/downloads/page.tsx:27-48`)","Tight on phones","Use single-column on sm"
"GPT52","GPT 52.md","214","/downloads","DLD-4","Low","Trust","No file sizes/versions","Unclear freshness","Add â€œv2026-03, 4.2MBâ€ labels"
"GPT52","GPT 52.md","215","/downloads","DLD-5","Low","Accessibility","Links lack `aria-label` describing resource","SR ambiguity","Add descriptive labels"
"GPT52","GPT 52.md","221","/portfolio","PORT-1","High","Performance","Loads all project images at once (`app/portfolio/page.tsx:62-105`)","Heavy LCP, esp. mobile","Use lazy loading + pagination"
"GPT52","GPT 52.md","222","/portfolio","PORT-2","Medium","Decision support","No captions per photo beyond project summary (`app/portfolio/page.tsx:72-101`)","Hard to infer scope/outcomes","Add annotations (area, seats)"
"GPT52","GPT 52.md","223","/portfolio","PORT-3","Medium","CTA clarity","No inquiry CTA near galleries (`app/portfolio/page.tsx:58-105`)","Users must scroll to footer","Add inline â€œRequest similar projectâ€"
"GPT52","GPT 52.md","224","/portfolio","PORT-4","Low","Accessibility","Alt text generic (â€œportfolio photo 1â€) (`app/portfolio/page.tsx:78-99`)","Low context for SR","Use descriptive alts"
"GPT52","GPT 52.md","225","/portfolio","PORT-5","Low","Mobile","12-column grid; images may be tiny on sm (`app/portfolio/page.tsx:86-104`)","Poor legibility","Add masonry/slider on mobile"
"GPT52","GPT 52.md","231","/gallery","GAL-1","High","Performance","Masonry loads full-res images (`app/gallery/page.tsx:22-61`)","Slow initial load","Use optimized sizes & lazy"
"GPT52","GPT 52.md","232","/gallery","GAL-2","Medium","CTA clarity","No CTA near gallery","Visitors canâ€™t request info","Add sticky â€œTalk to usâ€"
"GPT52","GPT 52.md","233","/gallery","GAL-3","Medium","Accessibility","Decorative gradient overlay without aria-hidden (`app/gallery/page.tsx:39-46`)","SR noise","Mark overlay aria-hidden"
"GPT52","GPT 52.md","234","/gallery","GAL-4","Low","IA/navigation","No filters (sector/category)","Hard to find relevant shots","Add filter pills"
"GPT52","GPT 52.md","235","/gallery","GAL-5","Low","Mobile","Two-column masonry even on phones (`app/gallery/page.tsx:35-43`)","Thumb readability","Switch to single column on <640px"
"GPT52","GPT 52.md","241","/news","NEWS-1","High","Trust","Items have no source links (`app/news/page.tsx:25-57`)","Feels promotional","Link to posts/press PDFs"
"GPT52","GPT 52.md","242","/news","NEWS-2","Medium","CTA clarity","No â€œSubscribeâ€ or â€œContact PRâ€ CTA","Missed lead capture","Add CTA block"
"GPT52","GPT 52.md","243","/news","NEWS-3","Medium","Freshness","Dates are month/year only (`app/news/page.tsx:30-55`)","Hard to verify recency","Add exact dates"
"GPT52","GPT 52.md","244","/news","NEWS-4","Low","Mobile","3-card grid at md","Crowded on small devices","Stack to single column"
"GPT52","GPT 52.md","245","/news","NEWS-5","Low","Accessibility","Cards lack `aria-label` summarizing link","SR usability","Add aria-label on article"
"GPT52","GPT 52.md","251","/trusted-by","TB-1","High","CTA clarity","No CTA besides footer (`app/trusted-by/page.tsx:7-19`)","Visitors canâ€™t act","Add â€œRequest reference callâ€ CTA"
"GPT52","GPT 52.md","252","/trusted-by","TB-2","Medium","Trust","Client badges lack project type/year (`app/trusted-by/page.tsx:21-40`)","Weak social proof","Add tags with sector/year"
"GPT52","GPT 52.md","253","/trusted-by","TB-3","Medium","Accessibility","Grid uses ClientBadge components without list semantics","SR navigation weak","Wrap in `<ul>`"
"GPT52","GPT 52.md","254","/trusted-by","TB-4","Low","Mobile","5-column grid at xl may squeeze text on sm","Readability","Add responsive cols"
"GPT52","GPT 52.md","255","/trusted-by","TB-5","Low","Copy","Generic subtitle","Less persuasive","Add regional proof points"
"GPT52","GPT 52.md","261","/sustainability","SUS-1","High","Decision support","Eco-score claims lack data sources (`app/sustainability/page.tsx:46-116`)","Greenwash risk","Link to certifications/LCA PDFs"
"GPT52","GPT 52.md","262","/sustainability","SUS-2","Medium","CTA clarity","No CTA until footer","Low engagement","Add â€œDownload sustainability briefâ€ CTA"
"GPT52","GPT 52.md","263","/sustainability","SUS-3","Medium","Accessibility","Icons lack aria-hidden (`app/sustainability/page.tsx:25-44`)","SR noise","Add `aria-hidden`"
"GPT52","GPT 52.md","264","/sustainability","SUS-4","Low","Mobile","Three-column cards at md","Crowding","Stack/slider on mobile"
"GPT52","GPT 52.md","265","/sustainability","SUS-5","Low","Trust","No targets or KPIs","Goals unclear","Add measurable targets (e.g., % recycled)"
"GPT52","GPT 52.md","271","/career","CAR-1","High","CTA clarity","Hero no apply CTA (`app/career/page.tsx:13-18`)","Applicants canâ€™t start","Add â€œApply now / Email CVâ€"
"GPT52","GPT 52.md","272","/career","CAR-2","Medium","Interaction UX","JobCard likely lacks link to JD (component)","Candidates canâ€™t see details","Add JD modal/download"
"GPT52","GPT 52.md","273","/career","CAR-3","Medium","Trust","No benefits/comp section","Hard to assess fit","Add benefits list"
"GPT52","GPT 52.md","274","/career","CAR-4","Low","Mobile","3-column cards on md","Crowded","Stack"
"GPT52","GPT 52.md","275","/career","CAR-5","Low","Accessibility","Email link text only (`app/career/page.tsx:73-84`)","SR users need context","Add aria-label"
"GPT52","GPT 52.md","281","/social","SOC-1","High","Trust","Feed uses mock posts (`app/social/page.tsx:14-38`)","Misleads users; no live content","Integrate real Instagram API or label â€œSampleâ€"
"GPT52","GPT 52.md","282","/social","SOC-2","Medium","CTA clarity","â€œShop this lookâ€ links to generic /products when slug missing (`app/social/page.tsx:46-72`)","Friction in path to PDP","Ensure fallback to closest category"
"GPT52","GPT 52.md","283","/social","SOC-3","Medium","Accessibility","Overlay lacks aria labels","SR users miss captions","Add aria-live caption region"
"GPT52","GPT 52.md","284","/social","SOC-4","Low","Performance","Loads all images full size","Slower on mobile","Use responsive sizes & lazy"
"GPT52","GPT 52.md","285","/social","SOC-5","Low","IA","No filters (category/tag)","Hard to browse","Add tag filters"
"GPT52","GPT 52.md","291","/tracking","TRK-1","Medium","Trust","Tracking is simulated (hardcoded dates) (`app/tracking/page.tsx:25-44`)","Users may think itâ€™s real; leads to dissatisfaction","Connect to real API or label â€œdemoâ€"
"GPT52","GPT 52.md","292","/tracking","TRK-2","Medium","Validation","Accepts any string; no format check (`app/tracking/page.tsx:29-73`)","Error state frequent","Add format validation + examples"
"GPT52","GPT 52.md","293","/tracking","TRK-3","Low","Accessibility","Status cards lack role and aria-live","SR users miss updates","Add `role=""status""`"
"GPT52","GPT 52.md","294","/tracking","TRK-4","Low","Mobile","Form + timeline not stacked at small widths","Usability","Stack and reduce padding"
"GPT52","GPT 52.md","295","/tracking","TRK-5","Low","CTA clarity","No link to support when error","Dead end on not found","Add â€œContact supportâ€ CTA"
"GPT52","GPT 52.md","301","/quote-cart","QC-1","Medium","CTA clarity","Only â€œSubmit Quote Requestâ€ links to /contact (`app/quote-cart/page.tsx:109-116`)","No inline form","Embed quick quote form"
"GPT52","GPT 52.md","302","/quote-cart","QC-2","Medium","Decision support","No price subtotal (qty only) (`app/quote-cart/page.tsx:17-35,108-116`)","Buyers canâ€™t estimate cost","Add price bands"
"GPT52","GPT 52.md","303","/quote-cart","QC-3","Medium","Accessibility","Buttons lack disabled state when qty=0 (`useQuoteCart.ts:33-71`)","Users can set 0 then negative","Clamp and disable"
"GPT52","GPT 52.md","304","/quote-cart","QC-4","Low","Mobile","Two-column layout on lg may be fine; CTA might drop below fold","Possible miss","Add sticky footer CTA on mobile"
"GPT52","GPT 52.md","305","/quote-cart","QC-5","Low","Trust","No confirmation after clear","Risk of accidental loss","Add confirm dialog"
"GPT52","GPT 52.md","311","/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","LEG-1","Medium","IA/navigation","All legal pages lack breadcrumbs and top nav context (`app/privacy/page.tsx:3-9` etc.)","Users may feel detached from site","Keep header + footer consistent"
"GPT52","GPT 52.md","312","/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","LEG-2","Medium","Accessibility","Long paragraphs without headings beyond h1 (`app/privacy/page.tsx:9-24`)","Hard to scan/read","Add subheadings, lists"
"GPT52","GPT 52.md","313","/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","LEG-3","Medium","Trust","Refund policy uses broad statements without timelines (`app/refund-and-return-policy/page.tsx:19-79`)","Ambiguity can deter purchase","Add explicit timelines and RMA flow"
"GPT52","GPT 52.md","314","/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","LEG-4","Low","CTA clarity","Support-IVR hero no direct call/WA CTA (`app/support-ivr/page.tsx:7-15`)","Missed contact","Add â€œCall nowâ€"
"GPT52","GPT 52.md","315","/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","LEG-5","Low","Performance","Brochure/download-brochure/catalog are immediate redirects","Minor UX jolt","Use 302 with message or combine page"
"GPT511","GPt 511.md","71","/","HOME-01","High","Mobile responsiveness","Multiple fixed widgets: guided planner + AI chatbot (bottom-left), WhatsApp (bottom-right), plus CompareDock (bottom-center when active).","Overlaps content/CTAs on small viewports and creates â€œUI clutterâ€ at decision moments.","Consolidate into one â€œHelpâ€ FAB with drawer; reserve bottom-center for CompareDock; add safe-area + collision rules per breakpoint."
"GPT511","GPt 511.md","72","/","HOME-02","Medium","CTA clarity","Hero emphasizes quote + browse, while configurator is a key path but not presented as a hero-level option.","Misses high-intent users who want to â€œconfigure quicklyâ€ rather than browse.","Add a tertiary hero link â€œOpen configuratorâ€ (text link) and route to `/configurator` with a short explainer."
"GPT511","GPt 511.md","73","/","HOME-03","Medium","Trust/credibility","Above-fold proof is mostly narrative; measurable proof (as-of KPIs, named client logos) is not guaranteed above fold.","First-time visitors may hesitate without instant proof.","Add an above-fold trust strip (3 KPIs + 6 client logos) immediately under the hero CTAs."
"GPT511","GPt 511.md","74","/","HOME-04","Medium","IA/navigation","Primary nav is long (Products, Configurator, Solutions, Projects, Portfolio, Trusted by, About, Sustainability).","Dilutes attention and increases scan time (especially on mobile drawer).","Group â€œCompanyâ€ (About, Trusted by, Sustainability, Career) under one menu; keep â‰¤5 top-level links."
"GPT511","GPt 511.md","75","/","HOME-05","Low","Accessibility/contrast","Low-contrast microcopy appears across patterns (e.g., `text-neutral-400` on white; contrast ~2.56:1).","Fails WCAG for normal text and harms readability on mobile outdoors.","Promote small-label text to `neutral-600` (or increase size/weight) wherever used for essential meaning."
"GPT511","GPt 511.md","81","/about","ABOUT-01","Medium","Trust/credibility","Hero imagery uses generic `/images/hero/*` assets instead of portfolio proof.","â€œAboutâ€ is where authenticity is judged; stock-like visuals reduce credibility.","Swap hero + section images to real portfolio photos (Titan/DMRC/TVS) with descriptive captions."
"GPT511","GPt 511.md","82","/about","ABOUT-02","Medium","Decision support","â€œTrusted byâ€ uses text badges without logos or proof links.","Enterprise buyers rely on recognition and proof trails.","Add logos where allowed + link each badge to a portfolio anchor or mini case study."
"GPT511","GPt 511.md","83","/about","ABOUT-03","Low","Content/copy","Stats appear without â€œAs ofâ€ date context.","Can feel inflated or stale.","Add â€œAs of {date}â€ line under the stat grid (same KPI date pattern used elsewhere)."
"GPT511","GPt 511.md","84","/about","ABOUT-04","Medium","CTA clarity","No mid-page CTA to move into the funnel (planning/configurator) until the global teaser.","Drops motivated readers into a long scroll without an explicit next step.","Add a CTA pair after â€œWho we areâ€: â€œRequest a planning callâ€ + â€œOpen configurator.â€"
"GPT511","GPt 511.md","85","/about","ABOUT-05","Low","Mobile responsiveness","Two-column section collapses into a long stack with image first.","Users may not reach narrative quickly.","On mobile, move key proof bullets above the image or add an in-card summary panel."
"GPT511","GPt 511.md","91","/projects","PROJ-01","High","IA/navigation","Page title â€œOur Workâ€ but content is â€œAll Clientsâ€ grid (no project case studies).","Mismatched intent â†’ credibility loss and higher bounce.","Either rename to â€œClientsâ€ or add case-study cards (client, scope, photos, outcomes) with links to `/portfolio`."
"GPT511","GPt 511.md","92","/projects","PROJ-02","Medium","IA/navigation","Overlaps heavily with `/trusted-by` which also lists clients.","Duplicated IA makes the site feel unfinished.","Consolidate: make `/trusted-by` the complete client directory; make `/projects` case studies only."
"GPT511","GPt 511.md","93","/projects","PROJ-03","Medium","Merchandising/discovery","Client list lacks filters despite having sectors/locations in data.","Hard to find relevant proof (e.g., â€œFinance in Patnaâ€).","Add search + filters (Sector, Location) and a â€œFeatured case studiesâ€ section on top."
"GPT511","GPt 511.md","94","/projects","PROJ-04","Medium","Trust/credibility","KPI values are shown but the â€œwhy trust these numbersâ€ explanation is not user-facing.","Procurement readers want measurement context.","Add a short KPI footnote: â€œKPI source + as-of date,â€ plus link to methodology snippet in footer."
"GPT511","GPt 511.md","95","/projects","PROJ-05","Low","Mobile responsiveness","Large client grid can become very long on mobile.","Scrolling fatigue and performance perception risk.","Add pagination or â€œLoad moreâ€ with lazy rendering."
"GPT511","GPt 511.md","101","/products","PROD-01","Medium","Merchandising/discovery","Category grid relies on `getCatalog()`; if data is empty, there is no fallback UI in the grid section.","A transient data issue can wipe the primary discovery module.","Add a static fallback category set + â€œCatalog temporarily unavailableâ€ banner with retry."
"GPT511","GPt 511.md","102","/products","PROD-02","High","CTA clarity","â€œCompare selected productsâ€ link can lead to an empty compare state with no items selected.","Feels like a dead-end CTA and reduces trust.","Change link to â€œHow comparison worksâ€ (modal) or route users to a category with a compare prompt; only show when compare has items."
"GPT511","GPt 511.md","103","/products","PROD-03","Medium","IA/navigation","Configurator is a key path but not emphasized near the top of the page.","Users who want speed must hunt.","Add a top â€œFast pathâ€ section: Configurator + Guided planner + Contact."
"GPT511","GPt 511.md","104","/products","PROD-04","Medium","Trust/credibility","Client proof appears as text chips only (DMRC, etc.).","Reduced recognition vs logos/photos.","Replace with logos or 2â€“3 proof cards linking to `/portfolio` and `/trusted-by`."
"GPT511","GPt 511.md","105","/products","PROD-05","Low","Mobile responsiveness","Multi-section page has no section jump controls.","Hard to reach categories quickly on mobile.","Add sticky â€œJump toâ€ chips: Categories, Compare, Contact."
"GPT511","GPt 511.md","111","/configurator","CONF-01","High","Interaction UX","Configurator state includes 25+ fields (room, layout, screens, power/data, finishes, lead info).","Drop-off risk from complexity and time cost.","Convert to stepper: Layout â†’ Options â†’ Review â†’ Contact; autosave draft to localStorage."
"GPT511","GPt 511.md","112","/configurator","CONF-02","High","Trust/credibility","Pricing ranges are derived from hard-coded base prices/extras.","Inaccurate estimates can damage trust and stall leads.","Add â€œIndicative onlyâ€ disclaimer + pull ranges from product metadata or remove the currency estimate until real."
"GPT511","GPt 511.md","113","/configurator","CONF-03","Medium","CTA clarity","Submit gate requires only name + email (phone optional).","Sales follow-up may be slow in WhatsApp-first workflows.","Require phone OR add â€œPreferred contactâ€ as required with validation."
"GPT511","GPt 511.md","114","/configurator","CONF-04","Medium","Mobile responsiveness","SVG drawing width scales with computed grid (`gridCols * cellSize`) without guaranteed mobile fit.","Likely horizontal overflow or tiny unreadable map on mobile.","Add responsive scale-to-fit with a â€œZoomâ€ control and explicit horizontal scroll container."
"GPT511","GPt 511.md","115","/configurator","CONF-05","Low","Decision support","Suggested â€œsystemsâ€ links route to broad category pages, not the relevant series/filters.","Users lose context and momentum.","Deep-link to filtered results (e.g., `?series=Panel%20Series`) and highlight 3 recommended SKUs."
