"Route","Model","Finding ID","Severity","Adjudication (Accept/Reject/Merge)","Chosen Owner","Sprint","Definition of Done"
"/products/desks (category)","GPT52","CAT-5","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/products/desks/winea-pro (PDP)","GPT52","PDP-1","Critical","Accept","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/desks/winea-pro (PDP)","GPT52","PDP-2","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/desks/winea-pro (PDP)","GPT52","PDP-3","High","Merge","Frontend","Sprint 1","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/desks/winea-pro (PDP)","GPT52","PDP-4","Medium","Merge","Frontend","Sprint 2","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/products/desks/winea-pro (PDP)","GPT52","PDP-5","Medium","Merge","Frontend","Sprint 2","PDP renders with complete decision fields (lead time, warranty, docs, price guidance) and verified SKU imagery/spec integrity."
"/configurator","GPT52","CFG-1","High","Merge","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT52","CFG-2","High","Accept","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT52","CFG-3","Medium","Merge","Frontend","Sprint 2","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT52","CFG-4","Medium","Merge","Frontend","Sprint 2","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT52","CFG-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/compare","GPT52","CMP-1","High","Accept","Frontend","Sprint 1","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT52","CMP-2","Medium","Merge","Frontend","Sprint 2","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT52","CMP-3","Medium","Merge","Frontend","Sprint 2","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT52","CMP-4","Low","Accept","Frontend","Sprint 3","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT52","CMP-5","Low","Merge","Frontend","Sprint 3","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/contact","GPT52","CT-1","High","Accept","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT52","CT-2","High","Merge","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT52","CT-3","Medium","Reject","Frontend + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/contact","GPT52","CT-4","Medium","Merge","Frontend","Sprint 2","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT52","CT-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/planning","GPT52","PLAN-1","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/planning","GPT52","PLAN-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/planning","GPT52","PLAN-3","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/planning","GPT52","PLAN-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/planning","GPT52","PLAN-5","Low","Reject","Frontend + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/service","GPT52","SRV-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPT52","SRV-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPT52","SRV-3","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPT52","SRV-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/service","GPT52","SRV-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/solutions","GPT52","SOL-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/solutions","GPT52","SOL-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/solutions","GPT52","SOL-3","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/solutions","GPT52","SOL-4","Low","Reject","Frontend + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/solutions","GPT52","SOL-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/showrooms","GPT52","SHW-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/showrooms","GPT52","SHW-2","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/showrooms","GPT52","SHW-3","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/showrooms","GPT52","SHW-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/showrooms","GPT52","SHW-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/downloads","GPT52","DLD-1","High","Merge","Frontend","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT52","DLD-2","Medium","Accept","Frontend","Sprint 2","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT52","DLD-3","Medium","Merge","Frontend","Sprint 2","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT52","DLD-4","Low","Reject","Frontend + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/downloads","GPT52","DLD-5","Low","Accept","Frontend","Sprint 3","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/portfolio","GPT52","PORT-1","High","Merge","Frontend","Sprint 1","Responsive media and loading strategy meet performance budget with no regressions on mobile LCP/CLS."
"/portfolio","GPT52","PORT-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/portfolio","GPT52","PORT-3","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/portfolio","GPT52","PORT-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/portfolio","GPT52","PORT-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/gallery","GPT52","GAL-1","High","Merge","Frontend","Sprint 1","Responsive media and loading strategy meet performance budget with no regressions on mobile LCP/CLS."
"/gallery","GPT52","GAL-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/gallery","GPT52","GAL-3","Medium","Merge","Frontend","Sprint 2","Affected components pass WCAG 2.1 AA checks (contrast, keyboard, focus order, and status messages)."
"/gallery","GPT52","GAL-4","Low","Merge","Frontend + Design","Sprint 3","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/gallery","GPT52","GAL-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/news","GPT52","NEWS-1","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/news","GPT52","NEWS-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/news","GPT52","NEWS-3","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/news","GPT52","NEWS-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/news","GPT52","NEWS-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/trusted-by","GPT52","TB-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/trusted-by","GPT52","TB-2","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/trusted-by","GPT52","TB-3","Medium","Merge","Frontend","Sprint 2","Affected components pass WCAG 2.1 AA checks (contrast, keyboard, focus order, and status messages)."
"/trusted-by","GPT52","TB-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/trusted-by","GPT52","TB-5","Low","Reject","Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/sustainability","GPT52","SUS-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/sustainability","GPT52","SUS-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/sustainability","GPT52","SUS-3","Medium","Merge","Frontend","Sprint 2","Affected components pass WCAG 2.1 AA checks (contrast, keyboard, focus order, and status messages)."
"/sustainability","GPT52","SUS-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/sustainability","GPT52","SUS-5","Low","Reject","Frontend + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/career","GPT52","CAR-1","High","Merge","Frontend","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/career","GPT52","CAR-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/career","GPT52","CAR-3","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/career","GPT52","CAR-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/career","GPT52","CAR-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/social","GPT52","SOC-1","High","Accept","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/social","GPT52","SOC-2","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/social","GPT52","SOC-3","Medium","Merge","Frontend","Sprint 2","Affected components pass WCAG 2.1 AA checks (contrast, keyboard, focus order, and status messages)."
"/social","GPT52","SOC-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/social","GPT52","SOC-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/tracking","GPT52","TRK-1","Medium","Merge","Frontend + Content","Sprint 2","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/tracking","GPT52","TRK-2","Medium","Accept","Frontend","Sprint 2","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/tracking","GPT52","TRK-3","Low","Accept","Frontend","Sprint 3","Public flow is either backed by real order-status API or removed/re-labeled; no simulated success states remain."
"/tracking","GPT52","TRK-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/tracking","GPT52","TRK-5","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/quote-cart","GPT52","QC-1","Medium","Merge","Frontend","Sprint 2","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/quote-cart","GPT52","QC-2","Medium","Merge","Frontend","Sprint 2","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/quote-cart","GPT52","QC-3","Medium","Merge","Frontend","Sprint 2","Quote cart is globally discoverable, persists state, and transfers full payload into contact/CRM submission with confirmation."
"/quote-cart","GPT52","QC-4","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/quote-cart","GPT52","QC-5","Low","Reject","Frontend + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","GPT52","LEG-1","Medium","Merge","Frontend + Legal + Content","Sprint 2","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","GPT52","LEG-2","Medium","Merge","Frontend + Legal + Content","Sprint 2","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","GPT52","LEG-3","Medium","Merge","Frontend + Legal + Content","Sprint 2","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","GPT52","LEG-4","Low","Merge","Frontend + Legal + Content","Sprint 3","Cookie/legal content is compliant and versioned, consent labels are correct, links/canonical metadata are validated in production."
"/privacy, /terms, /imprint, /refund-and-return-policy, /support-ivr","GPT52","LEG-5","Low","Reject","Frontend + Legal + Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/","GPT511","HOME-01","High","Merge","Frontend","Sprint 1","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT511","HOME-02","Medium","Merge","Frontend","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT511","HOME-03","Medium","Merge","Frontend + Content","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT511","HOME-04","Medium","Merge","Frontend + Design","Sprint 2","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/","GPT511","HOME-05","Low","Merge","Frontend","Sprint 3","Homepage CTAs are non-overlapping on mobile, trust metrics render correctly, and primary conversion path is clear above fold."
"/about","GPT511","ABOUT-01","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/about","GPT511","ABOUT-02","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/about","GPT511","ABOUT-03","Low","Merge","Content","Sprint 3","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/about","GPT511","ABOUT-04","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/about","GPT511","ABOUT-05","Low","Merge","Frontend","Sprint 3","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT511","PROJ-01","High","Merge","Frontend + Design","Sprint 1","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT511","PROJ-02","Medium","Merge","Frontend + Design","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT511","PROJ-03","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/projects","GPT511","PROJ-04","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/projects","GPT511","PROJ-05","Low","Merge","Frontend","Sprint 3","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/products","GPT511","PROD-01","Medium","Merge","Frontend","Sprint 2","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPT511","PROD-02","High","Merge","Frontend","Sprint 1","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPT511","PROD-03","Medium","Merge","Frontend + Design","Sprint 2","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPT511","PROD-04","Medium","Merge","Frontend + Content","Sprint 2","Category page has resilient fallback data, truthful pricing language, filter state clarity, and no blank-state dead-ends."
"/products","GPT511","PROD-05","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/configurator","GPT511","CONF-01","High","Merge","Frontend","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT511","CONF-02","High","Merge","Frontend + Content","Sprint 1","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT511","CONF-03","Medium","Merge","Frontend","Sprint 2","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT511","CONF-04","Medium","Merge","Frontend","Sprint 2","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/configurator","GPT511","CONF-05","Low","Merge","Frontend","Sprint 3","Configurator is step-based with autosave, clear validation and progress, and completion payload is usable by sales follow-up."
"/compare","GPT511","COMP-01","High","Merge","Frontend","Sprint 1","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT511","COMP-02","Medium","Merge","Content","Sprint 2","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT511","COMP-03","Medium","Merge","Frontend","Sprint 2","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT511","COMP-04","Medium","Merge","Frontend","Sprint 2","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/compare","GPT511","COMP-05","Low","Merge","Frontend","Sprint 3","Compare supports add/remove/clear on-page and a mobile card mode; no query-only dead-end entry remains."
"/contact","GPT511","CONT-01","Critical","Accept","Frontend","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT511","CONT-02","High","Merge","Frontend + Content","Sprint 1","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT511","CONT-03","Medium","Merge","Frontend + Content","Sprint 2","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT511","CONT-04","Medium","Merge","Content","Sprint 2","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/contact","GPT511","CONT-05","Medium","Merge","Frontend","Sprint 2","Submit flow returns company-owned follow-up channels, success state shows reference ID and SLA, invalid inputs are blocked, and aria-live announces status."
"/planning","GPT511","PLAN-01","Medium","Merge","Content","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/planning","GPT511","PLAN-02","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/planning","GPT511","PLAN-03","Low","Merge","Frontend","Sprint 3","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/planning","GPT511","PLAN-04","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/planning","GPT511","PLAN-05","Low","Merge","Frontend","Sprint 3","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPT511","SERV-01","High","Merge","Frontend + Content","Sprint 1","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/service","GPT511","SERV-02","Medium","Merge","Content","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPT511","SERV-03","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPT511","SERV-04","Low","Merge","Frontend + Design","Sprint 3","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/service","GPT511","SERV-05","Low","Merge","Frontend","Sprint 3","Affected components pass WCAG 2.1 AA checks (contrast, keyboard, focus order, and status messages)."
"/solutions","GPT511","SOL-01","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/solutions","GPT511","SOL-02","Medium","Merge","Frontend + Content","Sprint 2","Claims and proof blocks are verifiable, sourced, and consistent across related pages with as-of labels."
"/solutions","GPT511","SOL-03","Medium","Merge","Frontend + Design","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/solutions","GPT511","SOL-04","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/solutions","GPT511","SOL-05","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/showrooms","GPT511","SHOW-01","Medium","Merge","Frontend + Design","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/showrooms","GPT511","SHOW-02","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/showrooms","GPT511","SHOW-03","Low","Reject","Content","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/showrooms","GPT511","SHOW-04","Medium","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/showrooms","GPT511","SHOW-05","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/downloads","GPT511","DOWN-01","High","Merge","Frontend","Sprint 1","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT511","DOWN-02","Medium","Merge","Frontend + Content","Sprint 2","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT511","DOWN-03","Medium","Merge","Frontend","Sprint 2","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT511","DOWN-04","Medium","Merge","Frontend + Design","Sprint 2","User can download/request files in <=2 steps, with file metadata and intent-preserving routing from brochure/catalog entry points."
"/downloads","GPT511","DOWN-05","Low","Reject","Frontend","Backlog (Not in current cycle)","No change in current cycle; revisit only if corroborated by analytics or re-audit."
"/portfolio","GPT511","PORT-01","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
"/portfolio","GPT511","PORT-02","Medium","Merge","Frontend","Sprint 2","Change implemented and QA-approved on desktop/mobile with analytics event tracking for the affected conversion step."
